2,1,Groupe Mutuel Versicherungen AG,Groupe Mutuel Versicherungen AG,LAA,Rue des Cèdres 5,,1919,Martigny,058 758 71 33,uv_aarau@groupemutuel.ch,unfallportal.ch,7601003000108
3,1,Agrisano Krankenkasse AG,Agrisano,LAMaL,Laurstrasse 10,Laurstrasse 10,5201,Brugg,056 461 71 11,daten@agrisano.ch,www.agrisano.ch,7601003000436
4,1,Agrisano Krankenkasse AG (UVG),Agrisano Krankenkasse,LAA,Laurstrasse 10,Laurstrasse 10,5201,Brugg,056 461 71 11,daten@agrisano.ch,www.agrisano.ch,7601003101362
5,1,Allianz Suisse,Allianz Suisse,LAA,,Postfach,8010,Zürich,058 358 71 11,contact@allianz-suisse.ch,www.allianz-suisse.ch,7601003002409
6,1,AMB Assurances,Groupe Mutuel,LAMaL,Route de Verbier 13,Route de Verbier 13,1934,Le Châble,058 758 60 70,gburnier@groupemutuel.ch,www.amb-assurance.ch,7601003000504
7,1,Amt fûr Gesundheit,Amt fûr Gesundheit,LAMaL,Aeulestrasse 51,,9490,Vaduz,423 236 73 48,ewr-verbindungsstelle@llv.li,,7601001397750
8,1,Aquilana Versicherungen,Aquilana Versicherungen,LAMaL,Bruggerstrasse 46,,5401,Baden,056 203 44 44,edi_auftraege@centrisag.ch,www.aquilana.ch,7601003000184
9,1,Arcosana,Arcosana,LAMaL,Tribschenstrasse 21,,6002,Luzern,058 277 11 11,projekte.edi@css.ch,www.css.ch/edi,7601003010107
10,1,Assura-Basis SA,Assura,LAMaL,Case Postale 9,,1052,Le Mont-Sur-Lausanne,084 227 78 72,le.anbindung@centrisag.ch,www.assura.ch,7601003001303
11,1,Atupri Gesundheitsversicherung,Atupri,LAMaL,Zieglerstrasse 29,,3000,Bern 65,031 555 09 11,franziska.zumbrunnen@atupri.ch,www.atupri.ch,7601003000290
12,1,Avenir Krankenversicherung AG,Groupe Mutuel,LAMaL,Rue des Cèdres 5,,1920,Martigny,0848 80 31 11,gburnier@groupemutuel.ch,www.groupemutuel.ch,7601003004137
13,1,Avenir Krankenversicherung AG (Unfall),Groupe Mutuel,LAA,Rue des Cèdres 5,,1920,Martigny,0848 80 31 11,gburnier@groupemutuel.ch,www.groupemutuel.ch,7601003001556
14,1,AXA Health (KVG / LAMal),AXA Health,LAMaL,General-Guisan-Starsse 40,,8400,Winterthur,41 800 80 98 09,,www.axa.ch,7601003898064
15,1,AXA Winterthur (UVG / LAA / LAINF),AXA Winterthur,LAA,General Guisan-Strasse 40,Postfach 357,8401,Winterthur,058 215 38 70,le.anbindung@centrisag.ch,www.axa-winterthur.ch,7601003002102
